"District","FIPS","Year","English Learner Status","Variable","Measure Type","Value"
"Cooperative Educational Services","","2012-2013","English Language Learner","Suspensions","Percent","-6666"
"Cooperative Educational Services","","2013-2014","English Language Learner","Suspensions","Percent","-6666"
"Cooperative Educational Services","","2014-2015","English Language Learner","Suspensions","Percent","-6666"
"Cooperative Educational Services","","2015-2016","English Language Learner","Suspensions","Percent","-9999"
"Cooperative Educational Services","","2016-2017","English Language Learner","Suspensions","Percent","-9999"
"Cooperative Educational Services","","2017-2018","English Language Learner","Suspensions","Percent","-6666"
"Cooperative Educational Services","","2018-2019","English Language Learner","Suspensions","Percent","-6666"
"Cooperative Educational Services","","2019-2020","English Language Learner","Suspensions","Percent","-6666"
"Cornwall School District","","2009-2010","English Language Learner","Suspensions","Percent","-6666"
"Cornwall School District","","2010-2011","English Language Learner","Suspensions","Percent","-6666"
"Cornwall School District","","2011-2012","English Language Learner","Suspensions","Percent","-6666"
"Cornwall School District","","2012-2013","English Language Learner","Suspensions","Percent","-9999"
"Cornwall School District","","2013-2014","English Language Learner","Suspensions","Percent","-9999"
"Cornwall School District","","2014-2015","English Language Learner","Suspensions","Percent","-9999"
"Cornwall School District","","2015-2016","English Language Learner","Suspensions","Percent","-9999"
"Cornwall School District","","2016-2017","English Language Learner","Suspensions","Percent","-9999"
"Cornwall School District","","2017-2018","English Language Learner","Suspensions","Percent","-9999"
"Cornwall School District","","2018-2019","English Language Learner","Suspensions","Percent","-9999"
"Cornwall School District","","2019-2020","English Language Learner","Suspensions","Percent","-9999"
"Coventry School District","","2009-2010","English Language Learner","Suspensions","Percent","-9999"
"Coventry School District","","2010-2011","English Language Learner","Suspensions","Percent","-9999"
"Coventry School District","","2011-2012","English Language Learner","Suspensions","Percent","-9999"
"Coventry School District","","2012-2013","English Language Learner","Suspensions","Percent","-6666"
"Coventry School District","","2013-2014","English Language Learner","Suspensions","Percent","-9999"
"Coventry School District","","2014-2015","English Language Learner","Suspensions","Percent","-9999"
"Coventry School District","","2015-2016","English Language Learner","Suspensions","Percent","-9999"
"Coventry School District","","2016-2017","English Language Learner","Suspensions","Percent","-9999"
"Coventry School District","","2017-2018","English Language Learner","Suspensions","Percent","-9999"
"Coventry School District","","2018-2019","English Language Learner","Suspensions","Percent","-9999"
"Coventry School District","","2019-2020","English Language Learner","Suspensions","Percent","-9999"
"Cromwell School District","","2009-2010","English Language Learner","Suspensions","Percent","-6666"
"Cromwell School District","","2010-2011","English Language Learner","Suspensions","Percent","-6666"
"Cromwell School District","","2011-2012","English Language Learner","Suspensions","Percent","-6666"
"Cromwell School District","","2012-2013","English Language Learner","Suspensions","Percent","-9999"
"Cromwell School District","","2013-2014","English Language Learner","Suspensions","Percent","-9999"
"Cromwell School District","","2014-2015","English Language Learner","Suspensions","Percent","-9999"
"Cromwell School District","","2015-2016","English Language Learner","Suspensions","Percent","-9999"
"Cromwell School District","","2016-2017","English Language Learner","Suspensions","Percent","-9999"
"Cromwell School District","","2017-2018","English Language Learner","Suspensions","Percent","-9999"
"Cromwell School District","","2018-2019","English Language Learner","Suspensions","Percent","-9999"
"Cromwell School District","","2019-2020","English Language Learner","Suspensions","Percent","-9999"
"Danbury School District","900118500","2009-2010","English Language Learner","Suspensions","Percent","12.0"
"Danbury School District","900118500","2010-2011","English Language Learner","Suspensions","Percent","12.5"
"Danbury School District","900118500","2011-2012","English Language Learner","Suspensions","Percent","12.0"
"Danbury School District","900118500","2012-2013","English Language Learner","Suspensions","Percent","12.1"
"Danbury School District","900118500","2013-2014","English Language Learner","Suspensions","Percent","7.8"
"Danbury School District","900118500","2014-2015","English Language Learner","Suspensions","Percent","9.2"
"Danbury School District","900118500","2015-2016","English Language Learner","Suspensions","Percent","6.6"
"Danbury School District","900118500","2016-2017","English Language Learner","Suspensions","Percent","6.6"
"Danbury School District","900118500","2017-2018","English Language Learner","Suspensions","Percent","6.1"
"Danbury School District","900118500","2018-2019","English Language Learner","Suspensions","Percent","5.7"
"Danbury School District","900118500","2019-2020","English Language Learner","Suspensions","Percent","4.8"
"Darien School District","900118850","2009-2010","English Language Learner","Suspensions","Percent","-6666"
"Darien School District","900118850","2010-2011","English Language Learner","Suspensions","Percent","-9999"
"Darien School District","900118850","2011-2012","English Language Learner","Suspensions","Percent","-6666"
"Darien School District","900118850","2012-2013","English Language Learner","Suspensions","Percent","-9999"
"Darien School District","900118850","2013-2014","English Language Learner","Suspensions","Percent","-6666"
"Darien School District","900118850","2014-2015","English Language Learner","Suspensions","Percent","-6666"
"Darien School District","900118850","2015-2016","English Language Learner","Suspensions","Percent","-9999"
"Darien School District","900118850","2016-2017","English Language Learner","Suspensions","Percent","-9999"
"Darien School District","900118850","2017-2018","English Language Learner","Suspensions","Percent","-6666"
"Darien School District","900118850","2018-2019","English Language Learner","Suspensions","Percent","-6666"
"Darien School District","900118850","2019-2020","English Language Learner","Suspensions","Percent","-6666"
"Deep River School District","","2009-2010","English Language Learner","Suspensions","Percent","-9999"
"Deep River School District","","2010-2011","English Language Learner","Suspensions","Percent","-9999"
"Deep River School District","","2011-2012","English Language Learner","Suspensions","Percent","-9999"
"Deep River School District","","2012-2013","English Language Learner","Suspensions","Percent","-9999"
"Deep River School District","","2013-2014","English Language Learner","Suspensions","Percent","-9999"
"Deep River School District","","2014-2015","English Language Learner","Suspensions","Percent","-9999"
"Deep River School District","","2015-2016","English Language Learner","Suspensions","Percent","-9999"
"Deep River School District","","2016-2017","English Language Learner","Suspensions","Percent","-9999"
"Deep River School District","","2017-2018","English Language Learner","Suspensions","Percent","-9999"
"Deep River School District","","2018-2019","English Language Learner","Suspensions","Percent","-9999"
"Deep River School District","","2019-2020","English Language Learner","Suspensions","Percent","-9999"
"Department of Mental Health and Addiction Services","","2009-2010","English Language Learner","Suspensions","Percent","-9999"
"Department of Mental Health and Addiction Services","","2010-2011","English Language Learner","Suspensions","Percent","-6666"
"Department of Mental Health and Addiction Services","","2011-2012","English Language Learner","Suspensions","Percent","-6666"
"Department of Mental Health and Addiction Services","","2012-2013","English Language Learner","Suspensions","Percent","-6666"
"Department of Mental Health and Addiction Services","","2013-2014","English Language Learner","Suspensions","Percent","-6666"
"Department of Mental Health and Addiction Services","","2014-2015","English Language Learner","Suspensions","Percent","-6666"
"Department of Mental Health and Addiction Services","","2015-2016","English Language Learner","Suspensions","Percent","-6666"
"Department of Mental Health and Addiction Services","","2016-2017","English Language Learner","Suspensions","Percent","-6666"
"Department of Mental Health and Addiction Services","","2017-2018","English Language Learner","Suspensions","Percent","-6666"
"Department of Mental Health and Addiction Services","","2018-2019","English Language Learner","Suspensions","Percent","-9999"
"Department of Mental Health and Addiction Services","","2019-2020","English Language Learner","Suspensions","Percent","-6666"
"Derby School District","900919550","2009-2010","English Language Learner","Suspensions","Percent","8.2"
"Derby School District","900919550","2010-2011","English Language Learner","Suspensions","Percent","6.5"
"Derby School District","900919550","2011-2012","English Language Learner","Suspensions","Percent","8.5"
"Derby School District","900919550","2012-2013","English Language Learner","Suspensions","Percent","7.9"
"Derby School District","900919550","2013-2014","English Language Learner","Suspensions","Percent","7.4"
"Derby School District","900919550","2014-2015","English Language Learner","Suspensions","Percent","17.1"
"Derby School District","900919550","2015-2016","English Language Learner","Suspensions","Percent","-9999"
"Derby School District","900919550","2016-2017","English Language Learner","Suspensions","Percent","-9999"
"Derby School District","900919550","2017-2018","English Language Learner","Suspensions","Percent","-9999"
"Derby School District","900919550","2018-2019","English Language Learner","Suspensions","Percent","-6666"
"Derby School District","900919550","2019-2020","English Language Learner","Suspensions","Percent","-9999"
"East Granby School District","900322070","2009-2010","English Language Learner","Suspensions","Percent","-9999"
"East Granby School District","900322070","2010-2011","English Language Learner","Suspensions","Percent","-9999"
"East Granby School District","900322070","2011-2012","English Language Learner","Suspensions","Percent","-9999"
"East Granby School District","900322070","2012-2013","English Language Learner","Suspensions","Percent","-9999"
"East Granby School District","900322070","2013-2014","English Language Learner","Suspensions","Percent","-9999"
"East Granby School District","900322070","2014-2015","English Language Learner","Suspensions","Percent","-9999"
"East Granby School District","900322070","2015-2016","English Language Learner","Suspensions","Percent","-9999"
"East Granby School District","900322070","2016-2017","English Language Learner","Suspensions","Percent","-9999"
"East Granby School District","900322070","2017-2018","English Language Learner","Suspensions","Percent","-9999"
"East Granby School District","900322070","2018-2019","English Language Learner","Suspensions","Percent","-9999"
"East Granby School District","900322070","2019-2020","English Language Learner","Suspensions","Percent","-9999"
"East Haddam School District","","2009-2010","English Language Learner","Suspensions","Percent","-9999"
"East Haddam School District","","2010-2011","English Language Learner","Suspensions","Percent","-9999"
"East Haddam School District","","2011-2012","English Language Learner","Suspensions","Percent","-9999"
"East Haddam School District","","2012-2013","English Language Learner","Suspensions","Percent","-9999"
"East Haddam School District","","2013-2014","English Language Learner","Suspensions","Percent","-9999"
"East Haddam School District","","2014-2015","English Language Learner","Suspensions","Percent","-6666"
"East Haddam School District","","2015-2016","English Language Learner","Suspensions","Percent","-6666"
"East Haddam School District","","2016-2017","English Language Learner","Suspensions","Percent","-9999"
"East Haddam School District","","2017-2018","English Language Learner","Suspensions","Percent","-9999"
"East Haddam School District","","2018-2019","English Language Learner","Suspensions","Percent","-9999"
"East Haddam School District","","2019-2020","English Language Learner","Suspensions","Percent","-9999"
"East Hampton School District","900722490","2009-2010","English Language Learner","Suspensions","Percent","-9999"
"East Hampton School District","900722490","2010-2011","English Language Learner","Suspensions","Percent","-9999"
"East Hampton School District","900722490","2011-2012","English Language Learner","Suspensions","Percent","-9999"
"East Hampton School District","900722490","2012-2013","English Language Learner","Suspensions","Percent","-9999"
"East Hampton School District","900722490","2013-2014","English Language Learner","Suspensions","Percent","-9999"
"East Hampton School District","900722490","2014-2015","English Language Learner","Suspensions","Percent","-9999"
"East Hampton School District","900722490","2015-2016","English Language Learner","Suspensions","Percent","-9999"
"East Hampton School District","900722490","2016-2017","English Language Learner","Suspensions","Percent","-9999"
"East Hampton School District","900722490","2017-2018","English Language Learner","Suspensions","Percent","-9999"
"East Hampton School District","900722490","2018-2019","English Language Learner","Suspensions","Percent","-9999"
"East Hampton School District","900722490","2019-2020","English Language Learner","Suspensions","Percent","-9999"
"East Hartford School District","900322630","2009-2010","English Language Learner","Suspensions","Percent","14.2"
"East Hartford School District","900322630","2010-2011","English Language Learner","Suspensions","Percent","15.9"
"East Hartford School District","900322630","2011-2012","English Language Learner","Suspensions","Percent","15.1"
"East Hartford School District","900322630","2012-2013","English Language Learner","Suspensions","Percent","12.9"
"East Hartford School District","900322630","2013-2014","English Language Learner","Suspensions","Percent","12.9"
"East Hartford School District","900322630","2014-2015","English Language Learner","Suspensions","Percent","13.7"
"East Hartford School District","900322630","2015-2016","English Language Learner","Suspensions","Percent","8.2"
"East Hartford School District","900322630","2016-2017","English Language Learner","Suspensions","Percent","8.6"
"East Hartford School District","900322630","2017-2018","English Language Learner","Suspensions","Percent","8.2"
"East Hartford School District","900322630","2018-2019","English Language Learner","Suspensions","Percent","11.2"
"East Hartford School District","900322630","2019-2020","English Language Learner","Suspensions","Percent","7.2"
"East Haven School District","900922910","2009-2010","English Language Learner","Suspensions","Percent","7.0"
"East Haven School District","900922910","2010-2011","English Language Learner","Suspensions","Percent","5.9"
"East Haven School District","900922910","2011-2012","English Language Learner","Suspensions","Percent","6.3"
"East Haven School District","900922910","2012-2013","English Language Learner","Suspensions","Percent","3.3"
"East Haven School District","900922910","2013-2014","English Language Learner","Suspensions","Percent","8.8"
"East Haven School District","900922910","2014-2015","English Language Learner","Suspensions","Percent","2.9"
"East Haven School District","900922910","2015-2016","English Language Learner","Suspensions","Percent","4.3"
"East Haven School District","900922910","2016-2017","English Language Learner","Suspensions","Percent","6.3"
"East Haven School District","900922910","2017-2018","English Language Learner","Suspensions","Percent","3.4"
"East Haven School District","900922910","2018-2019","English Language Learner","Suspensions","Percent","3.5"
"East Haven School District","900922910","2019-2020","English Language Learner","Suspensions","Percent","4.2"
"East Lyme School District","901123400","2009-2010","English Language Learner","Suspensions","Percent","-9999"
"East Lyme School District","901123400","2010-2011","English Language Learner","Suspensions","Percent","-6666"
"East Lyme School District","901123400","2011-2012","English Language Learner","Suspensions","Percent","-6666"
"East Lyme School District","901123400","2012-2013","English Language Learner","Suspensions","Percent","-9999"
"East Lyme School District","901123400","2013-2014","English Language Learner","Suspensions","Percent","-9999"
"East Lyme School District","901123400","2014-2015","English Language Learner","Suspensions","Percent","-9999"
"East Lyme School District","901123400","2015-2016","English Language Learner","Suspensions","Percent","-9999"
"East Lyme School District","901123400","2016-2017","English Language Learner","Suspensions","Percent","-9999"
"East Lyme School District","901123400","2017-2018","English Language Learner","Suspensions","Percent","-6666"
"East Lyme School District","901123400","2018-2019","English Language Learner","Suspensions","Percent","-6666"
"East Lyme School District","901123400","2019-2020","English Language Learner","Suspensions","Percent","-9999"
"East Windsor School District","900324800","2009-2010","English Language Learner","Suspensions","Percent","-9999"
"East Windsor School District","900324800","2010-2011","English Language Learner","Suspensions","Percent","-9999"
"East Windsor School District","900324800","2011-2012","English Language Learner","Suspensions","Percent","-9999"
"East Windsor School District","900324800","2012-2013","English Language Learner","Suspensions","Percent","-9999"
"East Windsor School District","900324800","2013-2014","English Language Learner","Suspensions","Percent","-6666"
"East Windsor School District","900324800","2014-2015","English Language Learner","Suspensions","Percent","-6666"
"East Windsor School District","900324800","2015-2016","English Language Learner","Suspensions","Percent","-9999"
"East Windsor School District","900324800","2016-2017","English Language Learner","Suspensions","Percent","-9999"
"East Windsor School District","900324800","2017-2018","English Language Learner","Suspensions","Percent","-9999"
"East Windsor School District","900324800","2018-2019","English Language Learner","Suspensions","Percent","-9999"
"East Windsor School District","900324800","2019-2020","English Language Learner","Suspensions","Percent","-6666"
"Eastern Connecticut Regional Educational Services","","2009-2010","English Language Learner","Suspensions","Percent","-6666"
"Eastern Connecticut Regional Educational Services","","2010-2011","English Language Learner","Suspensions","Percent","-9999"
"Eastern Connecticut Regional Educational Services","","2011-2012","English Language Learner","Suspensions","Percent","-9999"
"Eastern Connecticut Regional Educational Services","","2012-2013","English Language Learner","Suspensions","Percent","-9999"
"Eastern Connecticut Regional Educational Services","","2013-2014","English Language Learner","Suspensions","Percent","-9999"
"Eastern Connecticut Regional Educational Services","","2014-2015","English Language Learner","Suspensions","Percent","-9999"
"Eastern Connecticut Regional Educational Services","","2015-2016","English Language Learner","Suspensions","Percent","-9999"
"Eastern Connecticut Regional Educational Services","","2016-2017","English Language Learner","Suspensions","Percent","-9999"
"Eastern Connecticut Regional Educational Services","","2017-2018","English Language Learner","Suspensions","Percent","-9999"
"Eastern Connecticut Regional Educational Services","","2018-2019","English Language Learner","Suspensions","Percent","-9999"
"Eastern Connecticut Regional Educational Services","","2019-2020","English Language Learner","Suspensions","Percent","-9999"
"Eastford School District","","2009-2010","English Language Learner","Suspensions","Percent","-6666"
"Eastford School District","","2010-2011","English Language Learner","Suspensions","Percent","-6666"
"Eastford School District","","2011-2012","English Language Learner","Suspensions","Percent","-6666"
"Eastford School District","","2012-2013","English Language Learner","Suspensions","Percent","-6666"
"Eastford School District","","2013-2014","English Language Learner","Suspensions","Percent","-6666"
"Eastford School District","","2014-2015","English Language Learner","Suspensions","Percent","-6666"
"Eastford School District","","2015-2016","English Language Learner","Suspensions","Percent","-6666"
"Eastford School District","","2016-2017","English Language Learner","Suspensions","Percent","-6666"
"Eastford School District","","2017-2018","English Language Learner","Suspensions","Percent","-6666"
"Eastford School District","","2018-2019","English Language Learner","Suspensions","Percent","-6666"
"Eastford School District","","2019-2020","English Language Learner","Suspensions","Percent","-6666"
"Easton School District","","2009-2010","English Language Learner","Suspensions","Percent","-9999"
"Easton School District","","2010-2011","English Language Learner","Suspensions","Percent","-9999"
"Easton School District","","2011-2012","English Language Learner","Suspensions","Percent","-9999"
"Easton School District","","2012-2013","English Language Learner","Suspensions","Percent","-9999"
"Easton School District","","2013-2014","English Language Learner","Suspensions","Percent","-9999"
"Easton School District","","2014-2015","English Language Learner","Suspensions","Percent","-9999"
"Easton School District","","2015-2016","English Language Learner","Suspensions","Percent","-9999"
"Easton School District","","2016-2017","English Language Learner","Suspensions","Percent","-9999"
"Easton School District","","2017-2018","English Language Learner","Suspensions","Percent","-9999"
"Easton School District","","2018-2019","English Language Learner","Suspensions","Percent","-9999"
"Easton School District","","2019-2020","English Language Learner","Suspensions","Percent","-9999"
"Ellington School District","901325360","2009-2010","English Language Learner","Suspensions","Percent","-9999"
"Ellington School District","901325360","2010-2011","English Language Learner","Suspensions","Percent","-9999"
"Ellington School District","901325360","2011-2012","English Language Learner","Suspensions","Percent","-9999"
"Ellington School District","901325360","2012-2013","English Language Learner","Suspensions","Percent","-9999"
"Ellington School District","901325360","2013-2014","English Language Learner","Suspensions","Percent","-9999"
"Ellington School District","901325360","2014-2015","English Language Learner","Suspensions","Percent","-9999"
"Ellington School District","901325360","2015-2016","English Language Learner","Suspensions","Percent","-9999"
"Ellington School District","901325360","2016-2017","English Language Learner","Suspensions","Percent","-9999"
"Ellington School District","901325360","2017-2018","English Language Learner","Suspensions","Percent","-6666"
"Ellington School District","901325360","2018-2019","English Language Learner","Suspensions","Percent","-6666"
"Ellington School District","901325360","2019-2020","English Language Learner","Suspensions","Percent","-6666"
"Elm City College Preparatory School District","","2009-2010","English Language Learner","Suspensions","Percent","14.6"
"Elm City College Preparatory School District","","2010-2011","English Language Learner","Suspensions","Percent","-9999"
"Elm City College Preparatory School District","","2011-2012","English Language Learner","Suspensions","Percent","-9999"
"Elm City College Preparatory School District","","2012-2013","English Language Learner","Suspensions","Percent","-9999"
"Elm City College Preparatory School District","","2013-2014","English Language Learner","Suspensions","Percent","26.1"
"Elm City College Preparatory School District","","2014-2015","English Language Learner","Suspensions","Percent","-9999"
"Elm City College Preparatory School District","","2015-2016","English Language Learner","Suspensions","Percent","-9999"
"Elm City College Preparatory School District","","2016-2017","English Language Learner","Suspensions","Percent","-6666"
"Elm City College Preparatory School District","","2017-2018","English Language Learner","Suspensions","Percent","-9999"
"Elm City College Preparatory School District","","2018-2019","English Language Learner","Suspensions","Percent","-9999"
"Elm City College Preparatory School District","","2019-2020","English Language Learner","Suspensions","Percent","-6666"
"Elm City Montessori School District","","2009-2010","English Language Learner","Suspensions","Percent","-6666"
"Elm City Montessori School District","","2010-2011","English Language Learner","Suspensions","Percent","-6666"
"Elm City Montessori School District","","2011-2012","English Language Learner","Suspensions","Percent","-6666"
"Elm City Montessori School District","","2012-2013","English Language Learner","Suspensions","Percent","-6666"
"Elm City Montessori School District","","2013-2014","English Language Learner","Suspensions","Percent","-6666"
"Elm City Montessori School District","","2014-2015","English Language Learner","Suspensions","Percent","-9999"
"Elm City Montessori School District","","2015-2016","English Language Learner","Suspensions","Percent","-9999"
"Elm City Montessori School District","","2016-2017","English Language Learner","Suspensions","Percent","-9999"
"Elm City Montessori School District","","2017-2018","English Language Learner","Suspensions","Percent","-9999"
"Elm City Montessori School District","","2018-2019","English Language Learner","Suspensions","Percent","-9999"
"Elm City Montessori School District","","2019-2020","English Language Learner","Suspensions","Percent","-9999"
"Enfield School District","900325990","2009-2010","English Language Learner","Suspensions","Percent","-9999"
"Enfield School District","900325990","2010-2011","English Language Learner","Suspensions","Percent","-9999"
"Enfield School District","900325990","2011-2012","English Language Learner","Suspensions","Percent","-9999"
"Enfield School District","900325990","2012-2013","English Language Learner","Suspensions","Percent","-9999"
"Enfield School District","900325990","2013-2014","English Language Learner","Suspensions","Percent","-9999"
"Enfield School District","900325990","2014-2015","English Language Learner","Suspensions","Percent","-9999"
"Enfield School District","900325990","2015-2016","English Language Learner","Suspensions","Percent","-9999"
"Enfield School District","900325990","2016-2017","English Language Learner","Suspensions","Percent","5.0"
"Enfield School District","900325990","2017-2018","English Language Learner","Suspensions","Percent","8.0"
"Enfield School District","900325990","2018-2019","English Language Learner","Suspensions","Percent","6.2"
"Enfield School District","900325990","2019-2020","English Language Learner","Suspensions","Percent","6.4"
"Essex School District","","2009-2010","English Language Learner","Suspensions","Percent","-9999"
"Essex School District","","2010-2011","English Language Learner","Suspensions","Percent","-9999"
"Essex School District","","2011-2012","English Language Learner","Suspensions","Percent","-9999"
"Essex School District","","2012-2013","English Language Learner","Suspensions","Percent","-9999"
"Essex School District","","2013-2014","English Language Learner","Suspensions","Percent","-9999"
"Essex School District","","2014-2015","English Language Learner","Suspensions","Percent","-9999"
"Essex School District","","2015-2016","English Language Learner","Suspensions","Percent","-9999"
"Essex School District","","2016-2017","English Language Learner","Suspensions","Percent","-9999"
"Essex School District","","2017-2018","English Language Learner","Suspensions","Percent","-9999"
"Essex School District","","2018-2019","English Language Learner","Suspensions","Percent","-9999"
"Essex School District","","2019-2020","English Language Learner","Suspensions","Percent","-9999"
"Explorations District","","2009-2010","English Language Learner","Suspensions","Percent","-6666"
"Explorations District","","2010-2011","English Language Learner","Suspensions","Percent","-6666"
"Explorations District","","2011-2012","English Language Learner","Suspensions","Percent","-6666"
"Explorations District","","2012-2013","English Language Learner","Suspensions","Percent","-6666"
"Explorations District","","2013-2014","English Language Learner","Suspensions","Percent","-6666"
"Explorations District","","2014-2015","English Language Learner","Suspensions","Percent","-6666"
"Explorations District","","2015-2016","English Language Learner","Suspensions","Percent","-6666"
"Explorations District","","2016-2017","English Language Learner","Suspensions","Percent","-6666"
"Explorations District","","2017-2018","English Language Learner","Suspensions","Percent","-6666"
"Explorations District","","2018-2019","English Language Learner","Suspensions","Percent","-6666"
"Explorations District","","2019-2020","English Language Learner","Suspensions","Percent","-6666"
"Fairfield School District","900126620","2009-2010","English Language Learner","Suspensions","Percent","4.2"
"Fairfield School District","900126620","2010-2011","English Language Learner","Suspensions","Percent","2.6"
"Fairfield School District","900126620","2011-2012","English Language Learner","Suspensions","Percent","-9999"
"Fairfield School District","900126620","2012-2013","English Language Learner","Suspensions","Percent","6.2"
"Fairfield School District","900126620","2013-2014","English Language Learner","Suspensions","Percent","5.5"
"Fairfield School District","900126620","2014-2015","English Language Learner","Suspensions","Percent","8.6"
"Fairfield School District","900126620","2015-2016","English Language Learner","Suspensions","Percent","3.9"
"Fairfield School District","900126620","2016-2017","English Language Learner","Suspensions","Percent","2.8"
"Fairfield School District","900126620","2017-2018","English Language Learner","Suspensions","Percent","3.7"
"Fairfield School District","900126620","2018-2019","English Language Learner","Suspensions","Percent","3.1"
"Fairfield School District","900126620","2019-2020","English Language Learner","Suspensions","Percent","-9999"
"Farmington School District","900327600","2009-2010","English Language Learner","Suspensions","Percent","-6666"
"Farmington School District","900327600","2010-2011","English Language Learner","Suspensions","Percent","-6666"
"Farmington School District","900327600","2011-2012","English Language Learner","Suspensions","Percent","-9999"
"Farmington School District","900327600","2012-2013","English Language Learner","Suspensions","Percent","-6666"
"Farmington School District","900327600","2013-2014","English Language Learner","Suspensions","Percent","-6666"
"Farmington School District","900327600","2014-2015","English Language Learner","Suspensions","Percent","-6666"
"Farmington School District","900327600","2015-2016","English Language Learner","Suspensions","Percent","-6666"
"Farmington School District","900327600","2016-2017","English Language Learner","Suspensions","Percent","-6666"
"Farmington School District","900327600","2017-2018","English Language Learner","Suspensions","Percent","-6666"
"Farmington School District","900327600","2018-2019","English Language Learner","Suspensions","Percent","-9999"
"Farmington School District","900327600","2019-2020","English Language Learner","Suspensions","Percent","-6666"
"Franklin School District","","2009-2010","English Language Learner","Suspensions","Percent","-6666"
"Franklin School District","","2010-2011","English Language Learner","Suspensions","Percent","-6666"
"Franklin School District","","2011-2012","English Language Learner","Suspensions","Percent","-6666"
"Franklin School District","","2012-2013","English Language Learner","Suspensions","Percent","-6666"
"Franklin School District","","2013-2014","English Language Learner","Suspensions","Percent","-6666"
"Franklin School District","","2014-2015","English Language Learner","Suspensions","Percent","-6666"
"Franklin School District","","2015-2016","English Language Learner","Suspensions","Percent","-6666"
"Franklin School District","","2016-2017","English Language Learner","Suspensions","Percent","-9999"
"Franklin School District","","2017-2018","English Language Learner","Suspensions","Percent","-6666"
"Franklin School District","","2018-2019","English Language Learner","Suspensions","Percent","-9999"
"Franklin School District","","2019-2020","English Language Learner","Suspensions","Percent","-9999"
"Glastonbury School District","900331240","2009-2010","English Language Learner","Suspensions","Percent","-9999"
"Glastonbury School District","900331240","2010-2011","English Language Learner","Suspensions","Percent","-9999"
"Glastonbury School District","900331240","2011-2012","English Language Learner","Suspensions","Percent","-9999"
"Glastonbury School District","900331240","2012-2013","English Language Learner","Suspensions","Percent","-6666"
"Glastonbury School District","900331240","2013-2014","English Language Learner","Suspensions","Percent","-9999"
"Glastonbury School District","900331240","2014-2015","English Language Learner","Suspensions","Percent","-9999"
"Glastonbury School District","900331240","2015-2016","English Language Learner","Suspensions","Percent","-9999"
"Glastonbury School District","900331240","2016-2017","English Language Learner","Suspensions","Percent","-9999"
"Glastonbury School District","900331240","2017-2018","English Language Learner","Suspensions","Percent","-6666"
"Glastonbury School District","900331240","2018-2019","English Language Learner","Suspensions","Percent","-6666"
"Glastonbury School District","900331240","2019-2020","English Language Learner","Suspensions","Percent","-9999"
"Granby School District","900332640","2009-2010","English Language Learner","Suspensions","Percent","-9999"
"Granby School District","900332640","2010-2011","English Language Learner","Suspensions","Percent","-9999"
"Granby School District","900332640","2011-2012","English Language Learner","Suspensions","Percent","-9999"
"Granby School District","900332640","2012-2013","English Language Learner","Suspensions","Percent","-9999"
"Granby School District","900332640","2013-2014","English Language Learner","Suspensions","Percent","-9999"
"Granby School District","900332640","2014-2015","English Language Learner","Suspensions","Percent","-9999"
"Granby School District","900332640","2015-2016","English Language Learner","Suspensions","Percent","-9999"
"Granby School District","900332640","2016-2017","English Language Learner","Suspensions","Percent","-9999"
"Granby School District","900332640","2017-2018","English Language Learner","Suspensions","Percent","-9999"
"Granby School District","900332640","2018-2019","English Language Learner","Suspensions","Percent","-9999"
"Granby School District","900332640","2019-2020","English Language Learner","Suspensions","Percent","-9999"
"Great Oaks Charter School Bridgeport","","2009-2010","English Language Learner","Suspensions","Percent","-6666"
"Great Oaks Charter School Bridgeport","","2010-2011","English Language Learner","Suspensions","Percent","-6666"
"Great Oaks Charter School Bridgeport","","2011-2012","English Language Learner","Suspensions","Percent","-6666"
"Great Oaks Charter School Bridgeport","","2012-2013","English Language Learner","Suspensions","Percent","-6666"
"Great Oaks Charter School Bridgeport","","2013-2014","English Language Learner","Suspensions","Percent","-6666"
"Great Oaks Charter School Bridgeport","","2014-2015","English Language Learner","Suspensions","Percent","-9999"
"Great Oaks Charter School Bridgeport","","2015-2016","English Language Learner","Suspensions","Percent","21.9"
"Great Oaks Charter School Bridgeport","","2016-2017","English Language Learner","Suspensions","Percent","24.0"
"Great Oaks Charter School Bridgeport","","2017-2018","English Language Learner","Suspensions","Percent","16.1"
"Great Oaks Charter School Bridgeport","","2018-2019","English Language Learner","Suspensions","Percent","-9999"
"Great Oaks Charter School Bridgeport","","2019-2020","English Language Learner","Suspensions","Percent","-9999"
"Greenwich School District","900133620","2009-2010","English Language Learner","Suspensions","Percent","2.7"
"Greenwich School District","900133620","2010-2011","English Language Learner","Suspensions","Percent","3.1"
"Greenwich School District","900133620","2011-2012","English Language Learner","Suspensions","Percent","1.6"
"Greenwich School District","900133620","2012-2013","English Language Learner","Suspensions","Percent","2.5"
"Greenwich School District","900133620","2013-2014","English Language Learner","Suspensions","Percent","1.4"
"Greenwich School District","900133620","2014-2015","English Language Learner","Suspensions","Percent","1.9"
"Greenwich School District","900133620","2015-2016","English Language Learner","Suspensions","Percent","1.6"
"Greenwich School District","900133620","2016-2017","English Language Learner","Suspensions","Percent","1.3"
"Greenwich School District","900133620","2017-2018","English Language Learner","Suspensions","Percent","1.6"
"Greenwich School District","900133620","2018-2019","English Language Learner","Suspensions","Percent","1.7"
"Greenwich School District","900133620","2019-2020","English Language Learner","Suspensions","Percent","1.2"
